Champion,Opponent,Wins,Total Matches,Win Rate (%)
Caitlyn,Lux,23,46,50.0
Lux,Caitlyn,23,46,50.0
Jinx,Caitlyn,23,44,52.27272727272727
Caitlyn,Jinx,21,44,47.72727272727273
Lux,Darius,24,40,60.0
Caitlyn,MissFortune,24,40,60.0
MissFortune,Caitlyn,16,40,40.0
Darius,Lux,16,40,40.0
Jinx,MissFortune,22,38,57.89473684210527
MissFortune,Jinx,16,38,42.10526315789473
Lux,MissFortune,22,37,59.45945945945946
MissFortune,Lux,15,37,40.54054054054054
Darius,Jinx,22,35,62.857142857142854
Jinx,Darius,13,35,37.142857142857146
Lux,Morgana,19,32,59.375
Darius,Caitlyn,19,32,59.375
Morgana,Lux,13,32,40.625
Caitlyn,Darius,13,32,40.625
Yasuo,Caitlyn,19,31,61.29032258064516
Caitlyn,Yasuo,12,31,38.70967741935484
Yasuo,Lux,19,30,63.33333333333333
Garen,Darius,17,30,56.666666666666664
Darius,Garen,13,30,43.333333333333336
Lux,Yasuo,11,30,36.666666666666664
Ashe,Caitlyn,18,29,62.06896551724138
Darius,MissFortune,15,29,51.724137931034484
MissFortune,Darius,14,29,48.275862068965516
Caitlyn,Ashe,11,29,37.93103448275862
Garen,Lux,16,28,57.14285714285714
Ezreal,Caitlyn,16,28,57.14285714285714
Lux,Jinx,15,28,53.57142857142857
Jinx,Lux,13,28,46.42857142857143
Caitlyn,Ezreal,12,28,42.857142857142854
Lux,Garen,12,28,42.857142857142854
Jhin,Caitlyn,18,27,66.66666666666666
Jinx,Mel,16,27,59.25925925925925
Kayn,Jhin,15,27,55.55555555555556
MissFortune,Tristana,15,27,55.55555555555556
Caitlyn,Mel,14,27,51.85185185185185
Mel,Caitlyn,13,27,48.148148148148145
Jhin,Kayn,12,27,44.44444444444444
Tristana,MissFortune,12,27,44.44444444444444
Mel,Jinx,11,27,40.74074074074074
Caitlyn,Jhin,9,27,33.33333333333333
MissFortune,Teemo,17,26,65.38461538461539
Jinx,Jhin,15,26,57.692307692307686
Caitlyn,Garen,15,26,57.692307692307686
Lux,Ezreal,14,26,53.84615384615385
Ezreal,Lux,12,26,46.15384615384615
Garen,Caitlyn,11,26,42.30769230769231
Jhin,Jinx,11,26,42.30769230769231
Teemo,MissFortune,9,26,34.61538461538461
Kayn,Lux,17,25,68.0
