match_id,lane,winner_puuid,winner_champion,loser_puuid,loser_champion,winner_primary_style,winner_primary_selections,winner_sub_style,winner_sub_selections,winner_stat_perks,winner_items,winner_summoner_spells,loser_primary_style,loser_primary_selections,loser_sub_style,loser_sub_selections,loser_stat_perks,loser_items,loser_summoner_spells,winner_bans,loser_bans
NA1_5244079401,TOP,SijV13haFv4swtKKu0YWIUgdW_iXdZP5Q_9fIEFuk05rx5HiiNF6i10G1wbQQgibZz5psg21RE_Zbw,Sett,syk_pjebq9Hbg3UGGuHbTq0ZeZZYPdTeoMZiPU1ISz2IxBZQGhCvI8nLZ7hmRhYoYCO34Debna3sdA,Vayne,8000,"[8010, 9111, 9104, 8299]",8400,"[8444, 8242]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 6631, 'item1': 3153, 'item2': 3110, 'item3': 3071, 'item4': 2021, 'item5': 3047}","{'summoner1Id': 4, 'summoner2Id': 14}",8000,"[8008, 9111, 9104, 8017]",8400,"[8473, 8451]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 1055, 'item1': 3124, 'item2': 3006, 'item3': 3153, 'item4': 6672, 'item5': 0}","{'summoner1Id': 6, 'summoner2Id': 4}","[119, 104, 19, 90, 13]","[25, 14, 42, 897, 84]"
NA1_5244079401,MIDDLE,_Z0eGUjsS1SB8e3ijPvuMSsyG7FVaJfTj3HG2z5f61rL3k8PM250KnBBO3h-4qx7R_xPm3f3rKnkNQ,Katarina,sSUADKRO5elsmUQEsuE9BwgV8C1wO0FbysM0d6CRSgak9TnTgd3Ah3zvN50UTHTyqbighLRk4iSdiQ,Heimerdinger,8000,"[8010, 9111, 9104, 8014]",8400,"[8444, 8451]","{'defense': 5001, 'flex': 5008, 'offense': 5008}","{'item0': 6672, 'item1': 1055, 'item2': 3153, 'item3': 1043, 'item4': 3111, 'item5': 3051}","{'summoner1Id': 14, 'summoner2Id': 4}",8100,"[8112, 8139, 8141, 8106]",8200,"[8226, 8237]","{'defense': 5011, 'flex': 5008, 'offense': 5008}","{'item0': 3157, 'item1': 6653, 'item2': 3175, 'item3': 1056, 'item4': 1026, 'item5': 6655}","{'summoner1Id': 4, 'summoner2Id': 14}","[119, 104, 19, 90, 13]","[25, 14, 42, 897, 84]"
NA1_5244079401,JUNGLE,lJMAuqEI2lXJKmyFtgeQYS_v1yx0WS8Ap5CURwK5s69_LwIXO96gxtd0esUcc5qPdOMD8uoGIMA2Pw,Amumu,uPgGq8S0v55D-e5YNdNXn2CIT_DFGX_ixrTzBWA0obbTH4SD_lV1_XMGiAZNx4NvuwjwJZBmwGc4Qg,Darius,8000,"[8010, 9111, 9105, 8299]",8100,"[8106, 8143]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 3089, 'item1': 0, 'item2': 4632, 'item3': 6653, 'item4': 3020, 'item5': 3157}","{'summoner1Id': 4, 'summoner2Id': 11}",8200,"[8230, 8275, 8234, 8232]",8000,"[9104, 9111]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 3742, 'item1': 3142, 'item2': 3053, 'item3': 3111, 'item4': 1057, 'item5': 1033}","{'summoner1Id': 11, 'summoner2Id': 4}","[119, 104, 19, 90, 13]","[25, 14, 42, 897, 84]"
NA1_5244079401,BOTTOM,46bfPMeiHZw7Q1tCECMnQPXC1Mjf6l2zBcnt1HerdVa2g6yG6q-4UtPsdr2CnIKEV1SOY3Xy9K1RCw,Varus,2WsC3takqV2ToVCxsstgu3u6nhYzOGaUP7xzHpLDJ5rQ-4A-GANKEP19RpAyW6DzqfPYcq-BAneQNA,Jinx,8000,"[8005, 9111, 9104, 8014]",8100,"[8139, 8135]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 1055, 'item1': 3153, 'item2': 6665, 'item3': 3006, 'item4': 3091, 'item5': 3302}","{'summoner1Id': 21, 'summoner2Id': 4}",8000,"[8008, 8009, 9103, 8014]",8200,"[8233, 8236]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 3032, 'item1': 3031, 'item2': 3085, 'item3': 3006, 'item4': 0, 'item5': 0}","{'summoner1Id': 4, 'summoner2Id': 21}","[119, 104, 19, 90, 13]","[25, 14, 42, 897, 84]"
NA1_5244079401,UTILITY,kU1AtBKKIr3D7sjTR_g5kq1PVPVFYro3AKZYkBKhsyjwTRQS8TmmmzRUn3Er8yJefAJYDaS7N4avcw,Galio,bLFd2FeUikUpHW3Zjy2xO6WH52w4f96GQp3nODkp4CoiQUzDKwuK5wmt3X6-18NedMK-dk_g1kdsfw,TahmKench,8400,"[8439, 8401, 8444, 8451]",8300,"[8347, 8304]","{'defense': 5001, 'flex': 5008, 'offense': 5008}","{'item0': 3869, 'item1': 3084, 'item2': 3075, 'item3': 3111, 'item4': 1011, 'item5': 1033}","{'summoner1Id': 14, 'summoner2Id': 4}",8400,"[8437, 8401, 8444, 8242]",8000,"[9104, 9111]","{'defense': 5001, 'flex': 5001, 'offense': 5005}","{'item0': 3869, 'item1': 3084, 'item2': 3174, 'item3': 2502, 'item4': 1029, 'item5': 1029}","{'summoner1Id': 14, 'summoner2Id': 4}","[119, 104, 19, 90, 13]","[25, 14, 42, 897, 84]"
NA1_5243452714,TOP,4F8g8z4-InnKCDMCVCJxvggS_OHonzVLE9cb5F6b3PLSYXtAOiempUxpgRNKUOXAgM84GP-fxzH_rw,Gwen,M-djiKlcIbs3PYxAQFfMFIL49mUAtDS6FqEDjS0j4KAi6XsezZMAsHQQXjBaxS6KPQM7EJJa4NbFXw,Yorick,8000,"[8010, 8009, 9104, 8017]",8400,"[8444, 8451]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 3115, 'item1': 3020, 'item2': 4633, 'item3': 0, 'item4': 0, 'item5': 0}","{'summoner1Id': 4, 'summoner2Id': 14}",8400,"[8437, 8446, 8473, 8451]",8000,"[9103, 8009]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 6692, 'item1': 3047, 'item2': 3508, 'item3': 3133, 'item4': 1036, 'item5': 1036}","{'summoner1Id': 4, 'summoner2Id': 12}","[22, 48, 122, 105, 35]","[56, 202, 19, 34, -1]"
NA1_5243452714,MIDDLE,46bfPMeiHZw7Q1tCECMnQPXC1Mjf6l2zBcnt1HerdVa2g6yG6q-4UtPsdr2CnIKEV1SOY3Xy9K1RCw,Zoe,yju6EhJg5UvkQhmBqZNAcYNDcpKj6W2qTnPtcSZsHQbYtzuPCUGTfR31rA-7ix7onWwn-VZwYyxjMQ,Lux,8100,"[8112, 8139, 8140, 8105]",8000,"[8017, 9105]","{'defense': 5011, 'flex': 5008, 'offense': 5005}","{'item0': 1056, 'item1': 6655, 'item2': 2421, 'item3': 3041, 'item4': 3020, 'item5': 3100}","{'summoner1Id': 14, 'summoner2Id': 4}",8200,"[8229, 8226, 8210, 8237]",8100,"[8126, 8106]","{'defense': 5001, 'flex': 5008, 'offense': 5008}","{'item0': 1056, 'item1': 6655, 'item2': 2031, 'item3': 3020, 'item4': 4646, 'item5': 0}","{'summoner1Id': 4, 'summoner2Id': 12}","[22, 48, 122, 105, 35]","[56, 202, 19, 34, -1]"
NA1_5243452714,JUNGLE,DmuzW_7NE1F-y1mkcQHzvNRqD72R7mmdmV8k6Zd-4VYVrHQ4PEQBDGbLdOEvRcTXLD3D2JrhDdsMuA,Viego,wGgyQOAm6vfWdsRFaYCCj7oseH2YuPF7m6cuNGY0hATVU0J5tmNE9GVCdvaKqJhY-tvXjiSQ2UJ5jQ,Kayn,8000,"[8010, 9111, 9104, 8014]",8300,"[8347, 8304]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 6676, 'item1': 3078, 'item2': 3173, 'item3': 6673, 'item4': 1018, 'item5': 1036}","{'summoner1Id': 11, 'summoner2Id': 4}",8000,"[8010, 9111, 9105, 8299]",8200,"[8224, 8210]","{'defense': 5001, 'flex': 5008, 'offense': 5008}","{'item0': 3142, 'item1': 6697, 'item2': 1036, 'item3': 3158, 'item4': 0, 'item5': 0}","{'summoner1Id': 4, 'summoner2Id': 11}","[22, 48, 122, 105, 35]","[56, 202, 19, 34, -1]"
NA1_5243452714,BOTTOM,eL1HRPo3UN3LdKknTieWeYgynzNpDL1I3IVSUSXx4tfBdcvtM_quwyfAAiPOAUVg7DtqjapOikd7ig,Jinx,lmBhuUdZUp35e43Rsr02RASpFfOtH8Z_BzOQnD-x5hwPJMqItJK8-8Vr6ZQ21eIorl9XfT-5BfWREA,Caitlyn,8000,"[8021, 8009, 9103, 8014]",8300,"[8345, 8304]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 3006, 'item1': 3031, 'item2': 3085, 'item3': 3032, 'item4': 0, 'item5': 1055}","{'summoner1Id': 21, 'summoner2Id': 4}",8100,"[8128, 8139, 8140, 8106]",8200,"[8233, 8236]","{'defense': 5001, 'flex': 5008, 'offense': 5005}","{'item0': 1055, 'item1': 6676, 'item2': 3006, 'item3': 3031, 'item4': 3086, 'item5': 3144}","{'summoner1Id': 21, 'summoner2Id': 4}","[22, 48, 122, 105, 35]","[56, 202, 19, 34, -1]"
NA1_5243452714,UTILITY,F8I_ucHqZ9wlubO9ebnVNcGkxSmY1yz6eA5vxE-_nZ4iquwB56B5WA-Rnw3Sp205Po4XRd02Q_jCIw,Pantheon,Giurn7THguD_cyumMyzsl-A_ATlbs-djShf9I411txg5n-Jrt3JkxO-pGhUMB1QoR5xcuCrxezwzog,Teemo,8000,"[8005, 9111, 9103, 8017]",8300,"[8306, 8316]","{'defense': 5013, 'flex': 5010, 'offense': 5005}","{'item0': 6699, 'item1': 3158, 'item2': 3877, 'item3': 6610, 'item4': 3133, 'item5': 1036}","{'summoner1Id': 4, 'summoner2Id': 14}",8100,"[8112, 8126, 8140, 8106]",8200,"[8236, 8210]","{'defense': 5001, 'flex': 5008, 'offense': 5008}","{'item0': 3871, 'item1': 3115, 'item2': 3020, 'item3': 6653, 'item4': 2508, 'item5': 2022}","{'summoner1Id': 3, 'summoner2Id': 4}","[22, 48, 122, 105, 35]","[56, 202, 19, 34, -1]"
