Champion,Opponent,Wins,Total Matches,Win Rate (%)
Lux,Caitlyn,21,33,63.63636363636363
Caitlyn,Lux,12,33,36.36363636363637
Jinx,Caitlyn,17,31,54.83870967741935
Caitlyn,Jinx,14,31,45.16129032258064
Lux,Darius,17,30,56.666666666666664
Darius,Lux,13,30,43.333333333333336
Jinx,MissFortune,16,28,57.14285714285714
MissFortune,Jinx,12,28,42.857142857142854
Lux,MissFortune,14,27,51.85185185185185
MissFortune,Lux,13,27,48.148148148148145
MissFortune,Caitlyn,13,26,50.0
Caitlyn,MissFortune,13,26,50.0
Darius,Jinx,14,25,56.00000000000001
Jinx,Darius,11,25,44.0
Jhin,Caitlyn,15,23,65.21739130434783
Lux,Jinx,13,23,56.52173913043478
Jinx,Lux,10,23,43.47826086956522
Caitlyn,Jhin,8,23,34.78260869565217
Jhin,Lux,16,22,72.72727272727273
Lux,Morgana,15,22,68.18181818181817
Yasuo,Caitlyn,15,22,68.18181818181817
Yasuo,Lux,14,22,63.63636363636363
Jinx,Jhin,14,22,63.63636363636363
Ashe,Caitlyn,13,22,59.09090909090909
Darius,Caitlyn,13,22,59.09090909090909
Kayn,Jhin,12,22,54.54545454545454
Jhin,Kayn,10,22,45.45454545454545
Caitlyn,Ashe,9,22,40.909090909090914
Caitlyn,Darius,9,22,40.909090909090914
Jhin,Jinx,8,22,36.36363636363637
Lux,Yasuo,8,22,36.36363636363637
Caitlyn,Yasuo,7,22,31.818181818181817
Morgana,Lux,7,22,31.818181818181817
Lux,Jhin,6,22,27.27272727272727
Darius,MissFortune,14,21,66.66666666666666
Jinx,Mel,13,21,61.904761904761905
MissFortune,Tristana,11,21,52.38095238095239
Tristana,MissFortune,10,21,47.61904761904761
Mel,Jinx,8,21,38.095238095238095
MissFortune,Darius,7,21,33.33333333333333
Darius,Ashe,11,20,55.00000000000001
Ezreal,Caitlyn,11,20,55.00000000000001
Garen,MissFortune,10,20,50.0
MissFortune,Garen,10,20,50.0
Caitlyn,Ezreal,9,20,45.0
Ashe,Darius,9,20,45.0
Caitlyn,Garen,11,19,57.89473684210527
Caitlyn,Tristana,11,19,57.89473684210527
Garen,Darius,10,19,52.63157894736842
Darius,Garen,9,19,47.368421052631575
Garen,Caitlyn,8,19,42.10526315789473
Tristana,Caitlyn,8,19,42.10526315789473
MissFortune,Teemo,14,18,77.77777777777779
Caitlyn,Mel,10,18,55.55555555555556
Ashe,Jhin,10,18,55.55555555555556
Malzahar,MissFortune,10,18,55.55555555555556
Garen,Lux,9,18,50.0
Lux,Garen,9,18,50.0
MissFortune,Malzahar,8,18,44.44444444444444
Mel,Caitlyn,8,18,44.44444444444444
Jhin,Ashe,8,18,44.44444444444444
Teemo,MissFortune,4,18,22.22222222222222
Lux,Viego,12,17,70.58823529411765
Veigar,Jinx,12,17,70.58823529411765
Jinx,Malzahar,9,17,52.94117647058824
Darius,Yorick,9,17,52.94117647058824
Amumu,Lux,9,17,52.94117647058824
MissFortune,Jhin,9,17,52.94117647058824
Sion,Lux,9,17,52.94117647058824
Malzahar,Jinx,8,17,47.05882352941176
Jhin,MissFortune,8,17,47.05882352941176
Yorick,Darius,8,17,47.05882352941176
Lux,Amumu,8,17,47.05882352941176
Lux,Sion,8,17,47.05882352941176
Viego,Lux,5,17,29.411764705882355
Jinx,Veigar,5,17,29.411764705882355
Kayn,Lux,11,16,68.75
Diana,Lux,10,16,62.5
Vayne,Lux,10,16,62.5
Caitlyn,Yone,10,16,62.5
Lux,Nasus,10,16,62.5
Chogath,Lux,9,16,56.25
Caitlyn,Nocturne,9,16,56.25
Lux,Yorick,9,16,56.25
Lux,Ezreal,9,16,56.25
Lux,Teemo,9,16,56.25
MissFortune,Ashe,9,16,56.25
Darius,Amumu,8,16,50.0
Amumu,Darius,8,16,50.0
Ezreal,Lux,7,16,43.75
Lux,Chogath,7,16,43.75
Nocturne,Caitlyn,7,16,43.75
Yorick,Lux,7,16,43.75
Teemo,Lux,7,16,43.75
Ashe,MissFortune,7,16,43.75
Lux,Vayne,6,16,37.5
Nasus,Lux,6,16,37.5
Lux,Diana,6,16,37.5
Yone,Caitlyn,6,16,37.5
Lux,Kayn,5,16,31.25
Kayn,MissFortune,11,15,73.33333333333333
Tristana,Lux,11,15,73.33333333333333
Jinx,Yorick,10,15,66.66666666666666
Jhin,Darius,10,15,66.66666666666666
Ezreal,Jhin,9,15,60.0
Ashe,Jinx,9,15,60.0
Diana,Jinx,8,15,53.333333333333336
TahmKench,Lux,8,15,53.333333333333336
Lux,Xerath,8,15,53.333333333333336
Caitlyn,Volibear,8,15,53.333333333333336
Morgana,MissFortune,8,15,53.333333333333336
MissFortune,Thresh,8,15,53.333333333333336
Jinx,Diana,7,15,46.666666666666664
Lux,TahmKench,7,15,46.666666666666664
Volibear,Caitlyn,7,15,46.666666666666664
Xerath,Lux,7,15,46.666666666666664
Thresh,MissFortune,7,15,46.666666666666664
MissFortune,Morgana,7,15,46.666666666666664
Jinx,Ashe,6,15,40.0
Jhin,Ezreal,6,15,40.0
Darius,Jhin,5,15,33.33333333333333
Yorick,Jinx,5,15,33.33333333333333
MissFortune,Kayn,4,15,26.666666666666668
Lux,Tristana,4,15,26.666666666666668
Darius,Volibear,13,14,92.85714285714286
Lux,Seraphine,10,14,71.42857142857143
Ezreal,Ashe,10,14,71.42857142857143
Lux,Akali,9,14,64.28571428571429
MissFortune,Mel,9,14,64.28571428571429
Lux,Ashe,9,14,64.28571428571429
Ashe,Garen,9,14,64.28571428571429
Sion,Jinx,9,14,64.28571428571429
Jinx,Teemo,9,14,64.28571428571429
Jinx,Garen,8,14,57.14285714285714
Darius,Teemo,8,14,57.14285714285714
Jinx,Mordekaiser,8,14,57.14285714285714
Ashe,Teemo,8,14,57.14285714285714
Darius,Viego,8,14,57.14285714285714
Lux,Warwick,8,14,57.14285714285714
Lux,Ahri,7,14,50.0
Kayn,Jinx,7,14,50.0
MissFortune,Nocturne,7,14,50.0
Jinx,Kayn,7,14,50.0
Nocturne,MissFortune,7,14,50.0
MissFortune,Pantheon,7,14,50.0
Pantheon,MissFortune,7,14,50.0
Ahri,Lux,7,14,50.0
Warwick,Lux,6,14,42.857142857142854
Teemo,Darius,6,14,42.857142857142854
Mordekaiser,Jinx,6,14,42.857142857142854
Garen,Jinx,6,14,42.857142857142854
Viego,Darius,6,14,42.857142857142854
Teemo,Ashe,6,14,42.857142857142854
Jinx,Sion,5,14,35.714285714285715
Ashe,Lux,5,14,35.714285714285715
Garen,Ashe,5,14,35.714285714285715
Teemo,Jinx,5,14,35.714285714285715
Mel,MissFortune,5,14,35.714285714285715
Akali,Lux,5,14,35.714285714285715
Ashe,Ezreal,4,14,28.57142857142857
Seraphine,Lux,4,14,28.57142857142857
Volibear,Darius,1,14,7.142857142857142
Darius,Seraphine,11,13,84.61538461538461
Warwick,Caitlyn,10,13,76.92307692307693
Jinx,Chogath,10,13,76.92307692307693
